author,channel,cid,heart,photo,text,time,votes
Kieran Brown,UCtg9Di0mubuM_Cpw9OTRaDQ,UgwQd3cBDf6abpbjWuZ4AaABAg,1.0,https://yt3.ggpht.com/ytc/AMLnZu_HYltpA6tq9wlXo47ST4nL_4iivn17MlNP5jLfYg=s176-c-k-c0x00ffffff-no-rj,love it mate! - the link up finally happened!! lets film some more stuff soon!,6 months ago,305
Fedora_the_explorer,UC2YO3E7jFWHPBtw-idUMJrg,UgzIn-8bnU46ccY29_x4AaABAg,0.0,https://yt3.ggpht.com/qqjtVTp3386az6RqNOHOpirHqxomV-Isse6d8Tz_vtbAU2FRrNtU0Of7flQ52zlmAGI9XAgFItw=s176-c-k-c0x00ffffff-no-rj,Your the absolute best football ⚽️ content creator out there loving it👌,6 months ago,32
Kylie Mortensen,UCwwciIt0i3G7UYSlFkmynbw,Ugz867TKocTyXvdb1ox4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu_M1mSGxXioizSRneqXQq02ZZa_104JmL1swvrVFbB7QtxMk0AyGtjRXjlqKys_=s176-c-k-c0x00ffffff-no-rj,Adam scored the best goal in the 2 touch challenge,2 weeks ago,1
Craig Timpson,UC-89JKK3U6JLQp_oiDk7UCw,UgyOp76lLAmgbGRFZJl4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu94Cfb0m1hB0ZXErRZN5SiopEc4X5aTiC4WrWnM8USrBuxRwavGhOW4HDn1rLzm=s176-c-k-c0x00ffffff-no-rj,Adam scored the best goal in the the two touch challenge,11 days ago,0
Panda(BasketBallmen),UCguOPv7QWt1LOBY9qvk9uow,UgzqFuFbSRJFMCybDjZ4AaABAg,0.0,https://yt3.ggpht.com/sFUNRkEuKSbFTz7Z_Caka0z3sQsWSgJRmFByfMGOd1OGroclxnOxTb_Yv9GxYFpdq0FaRwNsfV4=s176-c-k-c0x00ffffff-no-rj,when you upload our days get better! 💖,6 months ago,14
Farique FB,UCwdN2rCT8tPHfnQArAnVEWQ,UgzoxRDxOqLdjvyISqF4AaABAg,0.0,https://yt3.ggpht.com/rKDGCyB8UQcWi4lWmQ5LG4E5McxIvxWEtwwUiMrrephvGhamT40QJFnE_B1gRGjD_06GiksEnEo=s176-c-k-c0x00ffffff-no-rj,I loved the Kierran Brown shots,4 months ago,4
Akshaj Srivastava,UCaRkNd1DcawYMY3IWPmPnxg,UgyJv9KmGJp5-nfoif54AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu8svU0ksz4Ao45a6x4PcnLdKH3LwbTVYsLrvQG41xw=s176-c-k-c0x00ffffff-no-rj,Savva's two touch challenge first 2 goals shot like a freaking bullet,6 months ago,14
Memeschannel1,UC-NQ1PUap4cDE3l_h53zK2Q,UgyK92PO6h0BDWRywuh4AaABAg,0.0,https://yt3.ggpht.com/sYkFE_0-9-H6WWCDS9fR4lXXoac1Dpc8ynyGZJhoJ3T1pkRi1_AHKhQk05JkSxT-urZnzSOp=s176-c-k-c0x00ffffff-no-rj,",,Why,why,why you did leave me"" I cannot stop laughing! Hahaha",6 months ago,10
⭕️Free Robux On My Profile,UCn5oP31gtOkpZfXxpR3LAnw,UgzQ-CdUB5PfRw70yRF4AaABAg,0.0,https://yt3.ggpht.com/QTHjtxg26mrEabqpukvSlQyaDsEdjDSz7JgnaWRvl7UJkSKm65fX6_MJT9BFG8JF3Rqldu3gvRM=s176-c-k-c0x00ffffff-no-rj,"Keep up the great work Bro! This is soooo epic, I love your videos. Thanks for keeping us entertained!",6 months ago,22
Jose Arango,UCBRA85WoIEFMbh4iKARRWVg,Ugwxnr9MpxoSZoUGMIx4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu969VTc6mxnu9U_IbKj4UfaAz17PzFUiqW-Sg=s176-c-k-c0x00ffffff-no-rj,Sv2  was so funny on the fourth challenge because he did some kinda handstandcartweel it was so funny because I was laughing for like 3 minutes,4 months ago,11
Ronaldo suuuu,UCiG8qIdQEEkfe_FsKG5v-Fg,UgzJpizwzZMgVPj_3BV4AaABAg,0.0,https://yt3.ggpht.com/8vt_Fi3pujSSd8vGua2mUffBn5CdVz3moXxE3TLSyliM6QO9s-17SxYrueIoBJ5e-fFPaFDu=s176-c-k-c0x00ffffff-no-rj,I like your video’s so much that I can’t stop watching them,1 month ago,0
Krilzz,UCwc72xT6zq_1d85xI4MFoRQ,UgyltBF5txmQZVrnTdd4AaABAg,0.0,https://yt3.ggpht.com/61a-LFdIveJbIo9daub1cgjPy9R_R_CJ15TWLdZjK2LhBNgWgr21iyzbmerKKqqlcLZFF3GLIQ=s176-c-k-c0x00ffffff-no-rj,SAVVA YOUR SHOTS ARE MAD INSANE BRUV!,6 months ago,13
Shohib Gharwal,UCdLiWEU-QLKwlq2DNNicBEw,UgwHtkmHOBv6dI5dycZ4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu-C2W8xLEeASqpQlz9OTCdVAYVUWTmNChZJHA=s176-c-k-c0x00ffffff-no-rj,Eman is so funny😂😂,2 weeks ago,0
emmawilkins91,UCM7eKIq86WAzebSbQSxsmkg,UgwqIcy9Kn1oTpCIyzF4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu800Gxhr5dXMRxiZM6WMn6C0s0OtNKnTG161g=s176-c-k-c0x00ffffff-no-rj,Adam by far had the best shot,6 months ago,5
Yahya Baller,UCahVtXARS1yn5ZSKlLMmSAg,UgyK8rexaINCDrW4E7J4AaABAg,0.0,https://yt3.ggpht.com/ZIpCcioqfpEuE01CEl555LB1OCQMorThjPN6S6hS8uKkwD0fgbh_PzUtYaMZuZ5Ip8BVToDL8Q=s176-c-k-c0x00ffffff-no-rj,Sv2 with another banger🔥🔥🔥👑,6 months ago,8
Mary Folake Olanrewaju,UCHdkbBpDGQ-la5dnerhziDg,Ugx5WHGBUJFJlsJ4rgp4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu-kqFseoMlQsWToeFcuoaIVXyxHtGbHLCDB2NXx4A=s176-c-k-c0x00ffffff-no-rj,Lovely Video Sv2 big fan Never fails to entertain us,6 months ago,6
